correctness,Know The Goal,Reciever Closeness,Sender Closeness,Sender Believve,Reciever Believe,Sender Life Ex,Reciever Life Ex,Sender Meditation,Reciever Meditation,Sender illness,Reciever illness,Pain Rate,Time Known
1,0,8,7,0,0,0,0,1,0,0,0,3,3
1,0,8,7,0,0,0,0,1,0,0,0,2,3
1,0,8,7,0,0,0,0,1,0,0,0,0,3
1,0,8,7,0,0,0,0,1,0,0,0,0,3
1,0,8,7,0,0,0,0,1,0,0,0,3.5,3
0,0,8,7,0,0,0,0,1,0,0,0,3,3
1,0,8,7,0,0,0,0,1,0,0,0,1,3
0,0,8,7,0,0,0,0,1,0,0,0,0,3
1,0,8,7,0,0,0,0,1,0,0,0,2,3
0,0,8,7,0,0,0,0,1,0,0,0,1,3
0,0,8,7,0,0,0,0,1,0,0,0,2.5,3
0,0,8,7,0,0,0,0,1,0,0,0,4,3
1,0,9,10,0,0,1,0,0,0,0,0,0,20
0,0,9,10,0,0,1,1,0,0,0,0,3,20
0,0,9,10,0,0,1,1,0,0,0,0,3,20
0,0,9,10,0,0,1,1,0,0,0,0,0,20
0,0,9,10,0,0,1,1,0,0,0,0,0,20
1,0,9,10,0,0,1,1,0,0,0,0,0,20
0,0,9,10,0,0,1,1,0,0,0,0,1,20
1,0,9,10,0,0,1,1,0,0,0,0,3,20
0,0,9,10,0,0,1,1,0,0,0,0,3.5,20
0,0,9,10,0,0,1,1,0,0,0,0,0,20
1,0,9,10,0,0,1,1,0,0,0,0,3,20
0,0,9,10,0,0,1,1,0,0,0,0,3,20
0,1,10,9,0,0,1,1,0,0,0,0,2,20
0,1,10,9,0,0,1,1,0,0,0,0,3,20
0,1,10,9,0,0,1,1,0,0,0,0,1,20
1,1,10,9,0,0,1,1,0,0,0,0,3,20
0,1,10,9,0,0,1,1,0,0,0,0,2,20
0,1,10,9,0,0,1,1,0,0,0,0,3,20
0,1,10,9,0,0,1,1,0,0,0,0,3,20
0,1,10,9,0,0,1,1,0,0,0,0,1,20
1,1,10,9,0,0,1,1,0,0,0,0,1,20
0,1,10,9,0,0,1,1,0,0,0,0,3,20
0,1,10,9,0,0,1,1,0,0,0,0,0,20
1,1,10,9,0,0,1,1,0,0,0,0,1,20
1,0,6,7.5,0,0,0,0,0,0,0,0,3,2
1,0,6,7.5,0,0,0,0,0,0,0,0,1,2
1,0,6,7.5,0,0,0,0,0,0,0,0,2,2
1,0,6,7.5,0,0,0,0,0,0,0,0,3.5,2
1,0,6,7.5,0,0,0,0,0,0,0,0,3.5,2
0,0,6,7.5,0,0,0,0,0,0,0,0,3.5,2
0,0,6,7.5,0,0,0,0,0,0,0,0,0,2
0,0,6,7.5,0,0,0,0,0,0,0,0,0,2
0,0,6,7.5,0,0,0,0,0,0,0,0,1,2
0,0,6,7.5,0,0,0,0,0,0,0,0,4,2
0,0,6,7.5,0,0,0,0,0,0,0,0,0.5,2
0,0,6,7.5,0,0,0,0,0,0,0,0,4,2
0,1,7.5,6,0,0,0,0,0,0,0,0,0,2
0,1,7.5,6,0,0,0,0,0,0,0,0,0,2
0,1,7.5,6,0,0,0,0,0,0,0,0,4,2
1,1,7.5,6,0,0,0,0,0,0,0,0,0,2
1,1,7.5,6,0,0,0,0,0,0,0,0,3,2
0,1,7.5,6,0,0,0,0,0,0,0,0,4,2
0,1,7.5,6,0,0,0,0,0,0,0,0,1,2
1,1,7.5,6,0,0,0,0,0,0,0,0,3.5,2
0,1,7.5,6,0,0,0,0,0,0,0,0,4,2
1,1,7.5,6,0,0,0,0,0,0,0,0,0,2
0,1,7.5,6,0,0,0,0,0,0,0,0,0.7,2
